City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,24.93,77,71,5.48,PF,1713734917
1,masterton,-40.9597,175.6575,15.49,78,3,0.58,NZ,1713735401
2,keflavik,64.0049,-22.5624,5.24,81,20,3.6,IS,1713735401
3,waitangi,-43.9535,-176.5597,13.79,93,61,2.24,NZ,1713734906
4,port-aux-francais,-49.35,70.2167,5.27,65,9,10.48,TF,1713734917
5,ambikapur,23.1167,83.2,25.08,28,79,1.15,IN,1713735401
6,puerto ayora,-0.7393,-90.3518,30.98,91,15,1.79,EC,1713734906
7,avarua,-21.2078,-159.775,27.03,74,40,4.63,CK,1713734940
8,hamilton,39.1834,-84.5333,12.73,47,75,4.63,US,1713735355
9,n'zeto,-7.2312,12.8666,26.07,92,99,2.89,AO,1713735404
10,iskateley,67.6803,53.1512,-23.88,100,47,2.24,RU,1713735404
11,port alfred,-33.5906,26.891,21.21,95,100,3.13,ZA,1713734943
12,mount isa,-20.7333,139.5,17.87,52,68,4.63,AU,1713735405
13,west island,-12.1568,96.8225,27.99,78,75,8.75,CC,1713734920
14,siwa oasis,29.2041,25.5195,24.03,24,47,5.05,EG,1713735407
15,bandar lampung,-5.4254,105.258,24.22,97,100,0.84,ID,1713735407
16,porto velho,-8.7619,-63.9039,27.03,89,40,2.06,BR,1713735131
17,sitka,57.0531,-135.33,10.94,62,100,2.06,US,1713734938
18,anadyr,64.75,177.4833,-8.72,61,100,10.0,RU,1713734903
19,palmer,42.1584,-72.3287,9.79,36,100,5.66,US,1713735407
20,kodiak,57.79,-152.4072,5.73,75,100,3.09,US,1713734953
21,hermanus,-34.4187,19.2345,16.02,89,36,2.51,ZA,1713734917
22,brady,31.1352,-99.3351,19.09,48,20,6.17,US,1713735411
23,belyy yar,53.6039,91.3903,2.94,75,40,3.0,RU,1713735155
24,cabo san lucas,22.8909,-109.9124,32.61,30,0,4.63,MX,1713734956
25,holualoa,19.6228,-155.9522,24.91,87,40,3.6,US,1713735321
26,newman,37.3138,-121.0208,28.97,45,3,3.13,US,1713735389
27,olonkinbyen,70.9221,-8.7187,-3.41,83,98,6.75,SJ,1713735413
28,albany,42.6001,-73.9662,8.57,49,100,1.34,US,1713735218
29,puerto natales,-51.7236,-72.4875,8.25,57,75,5.66,CL,1713735414
30,constantia,44.1833,28.65,8.38,89,82,5.38,RO,1713735402
31,jamestown,42.097,-79.2353,6.37,54,100,6.26,US,1713735166
32,east london,-33.0153,27.9116,22.66,92,100,8.16,ZA,1713735414
33,edinburgh of the seven seas,-37.0676,-12.3116,16.93,79,44,7.96,SH,1713735224
34,haiku-pauwela,20.9219,-156.3051,26.23,68,40,7.72,US,1713735187
35,demba,-5.51,22.2667,22.78,92,92,0.94,CD,1713735414
36,la passe,45.5549,-0.8967,9.13,78,9,5.95,FR,1713735415
37,bredasdorp,-34.5322,20.0403,16.29,79,47,2.15,ZA,1713735310
38,kapuskasing,49.4169,-82.4331,-2.95,43,75,8.23,CA,1713734675
39,berwick-upon-tweed,55.7833,-2.0,8.57,92,100,2.38,GB,1713735418
40,tolanaro,-25.0319,46.9987,23.04,88,75,0.0,MG,1713734985
41,adamstown,-25.066,-130.1015,22.36,75,78,9.95,PN,1713735301
42,xining,36.6167,101.7667,6.96,55,83,1.02,CN,1713735419
43,ulsteinvik,62.3432,5.8487,5.97,75,35,0.89,NO,1713735186
44,ermenek,36.6404,32.8918,9.55,58,71,1.69,TR,1713735424
45,college,64.8569,-147.8028,12.18,33,0,0.0,US,1713735424
46,bilibino,68.0546,166.4372,-11.83,75,100,0.97,RU,1713734964
47,grytviken,-54.2811,-36.5092,3.11,90,98,2.68,GS,1713735431
48,port elizabeth,-33.918,25.5701,20.61,96,20,4.12,ZA,1713735175
49,iqaluit,63.7506,-68.5145,-15.15,72,100,6.17,CA,1713735324
50,malango,-2.9627,119.9001,19.15,97,99,1.21,ID,1713735275
51,camacupa,-12.0167,17.4833,19.1,66,91,1.5,AO,1713735432
52,bethel,41.3712,-73.414,10.2,42,0,5.14,US,1713735283
53,wailua homesteads,22.0669,-159.378,26.24,74,75,6.69,US,1713735118
54,undurkhaan,47.3194,110.6556,0.48,57,73,3.77,MN,1713735432
55,santa rosa de rio primero,-31.1523,-63.4019,21.47,84,100,2.07,AR,1713735432
56,mejit,10.2753,170.8646,27.46,78,79,8.42,MH,1713735432
57,kaduna,10.5222,7.4383,27.34,56,99,4.53,NG,1713735432
58,utrik,11.2278,169.8474,27.16,79,91,8.69,MH,1713735134
59,hithadhoo,-0.6,73.0833,28.99,73,100,0.02,MV,1713735433
60,hoima,1.4356,31.3436,17.87,92,100,0.1,UG,1713735433
61,georgetown,5.4112,100.3354,27.97,80,20,1.54,MY,1713735261
62,rahimatpur,17.6,74.2,27.19,57,9,1.71,IN,1713735433
63,el gouna,27.3942,33.6782,24.47,30,0,8.06,EG,1713735433
64,mugia,43.1041,-9.2179,12.17,60,7,9.43,ES,1713735196
65,nacala,-14.5428,40.6728,22.77,80,8,3.05,MZ,1713735434
66,tiksi,71.6872,128.8694,-5.08,96,100,3.57,RU,1713735302
67,magong,23.5654,119.5863,25.06,99,100,5.66,TW,1713735434
68,mount gambier,-37.8333,140.7667,6.89,94,7,1.86,AU,1713735221
69,uturoa,-16.7333,-151.4333,28.43,70,6,0.17,PF,1713735434
70,newbiggin-by-the-sea,55.1853,-1.5147,6.11,88,75,1.54,GB,1713735434
71,churapcha,62.0025,132.4325,0.21,68,100,5.64,RU,1713735435
72,bubaque,11.2833,-15.8333,25.16,71,18,8.17,GW,1713735156
73,stanley,54.868,-1.6985,5.71,90,40,1.03,GB,1713735011
74,alice springs,-23.7,133.8833,8.75,81,64,2.57,AU,1713735025
75,blackmans bay,-43.0167,147.3167,10.07,92,14,1.82,AU,1713735183
76,ushuaia,-54.8,-68.3,6.81,76,40,12.35,AR,1713734925
77,aasiaat,68.7098,-52.8699,0.76,90,100,2.17,GL,1713734972
78,arraial do cabo,-22.9661,-42.0278,23.92,73,0,3.6,BR,1713735188
79,margaret river,-33.95,115.0667,16.25,74,95,7.81,AU,1713735459
80,patnos,39.2336,42.8634,7.22,75,35,1.63,TR,1713735460
81,katsuura,35.1333,140.3,15.01,89,100,7.69,JP,1713735461
82,tete,-16.1564,33.5867,22.05,64,0,0.0,MZ,1713735461
83,lebu,-37.6167,-73.65,14.74,75,99,6.83,CL,1713734968
84,tamanrasset,22.785,5.5228,25.95,9,0,2.57,DZ,1713735461
85,fort knox,37.8911,-85.9636,13.53,37,75,4.12,US,1713735461
86,chonchi,-42.6128,-73.8092,11.56,84,100,1.01,CL,1713735307
87,yeraliyev,43.2,51.65,18.74,58,66,3.15,KZ,1713735469
88,porto novo,6.4965,2.6036,25.9,82,78,3.07,BJ,1713735075
89,yellowknife,62.456,-114.3525,11.29,40,20,3.09,CA,1713735351
90,formosa do rio preto,-11.0483,-45.1931,27.07,58,100,1.23,BR,1713735473
91,freeport,40.6576,-73.5832,11.66,39,20,7.72,US,1713735473
92,nemuro,43.3236,145.575,2.78,91,96,4.44,JP,1713735473
93,codrington,-38.2667,141.9667,8.13,88,4,2.93,AU,1713735474
94,taltal,-25.4,-70.4833,18.91,81,17,2.42,CL,1713735151
